days,mag
0.05459057071960327,12.242899069164011
0.5732009925558312,12.006140494514492
1.0372208436724568,11.784685921578014
1.6377171215880888,11.563042410348782
2.374689826302729,11.356438387222735
3.0297766749379655,11.188018793062186
3.7121588089330015,11.057632477232936
4.640198511166252,10.904063432882822
5.377171215880892,10.78121575493444
6.168734491315135,10.696363567658803
7.014888337468982,10.619050018264035
7.806451612903224,10.602725749770126
8.707196029776673,10.571021904246074
9.880893300248138,10.516097542542607
10.808933002481387,10.499584335755943
11.600496277915632,10.498488493657971
12.419354838709676,10.489740650703482
13.456575682382132,10.488304719678554
14.384615384615381,10.48701993928783
15.749379652605457,10.469902129964355
17.059553349875927,10.490930961947829
17.98759305210918,10.527717247546953
19.052109181141436,10.533857742061443
20.00744416873449,10.616291519189833
21.153846153846153,10.698460782708368
22.0272952853598,10.76577949641647
23.064516129032256,10.84048569737124
24.047146401985106,10.892424834049201
25.057071960297765,10.951940396266581
25.739454094292803,11.042366263178447
26.449131513647643,11.094683276441915
27.5409429280397,11.138857049287704
28.796526054590565,11.205646735776096
30.02481389578163,11.234403143933193

